time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
49.49975342,0.00652452,0.00401929,-nan,3521.00000000,0.00652452,0.000000,0.000000
49.59958124,0.00601043,0.00421508,-nan,7352.00000000,0.00549634,0.000000,0.000000
49.69941972,0.00747058,0.00741191,-nan,10524.00000000,0.01039088,0.000000,0.000000
49.79966230,0.00767624,0.00675492,-nan,13461.00000000,0.00829320,0.000000,0.000000
49.89950172,0.00765538,0.00594751,-nan,16133.00000000,0.00757193,0.000000,0.000000
49.99933086,0.00877776,0.00604433,0.00000477,18706.00000000,0.01438969,0.000000,0.000000
50.09996528,0.00950206,0.00606746,0.00000390,21050.00000000,0.01384787,0.000000,0.000000
50.19979942,0.01018338,0.00633740,0.00000391,23323.00000000,0.01495258,0.000000,0.000000
50.29963790,0.01051588,0.00554418,0.00000367,25554.00000000,0.01317588,0.000000,0.000000
50.39949028,0.01084161,0.00557740,0.00000366,27672.00000000,0.01377322,0.000000,0.000000
50.49933934,0.01137849,0.00832781,0.00000415,29865.00000000,0.01674733,0.000000,0.000000
50.59999128,0.01229700,0.00909010,0.00000381,31877.00000000,0.02240057,0.000000,0.000000
50.69983494,0.01268916,0.00810094,0.00000421,33865.00000000,0.01739508,0.000000,0.000000
50.79967732,0.01310633,0.00773765,0.00000478,35853.00000000,0.01852952,0.000000,0.000000
50.89952536,0.01349972,0.00841144,0.00000469,37674.00000000,0.01900720,0.000000,0.000000
50.99936118,0.01359808,0.00591647,0.00000508,39547.00000000,0.01507346,0.000000,0.000000
51.09998638,0.01379403,0.00795856,0.00000489,41245.00000000,0.01692920,0.000000,0.000000
51.19982358,0.01383572,0.00663389,0.00000403,43015.00000000,0.01454450,0.000000,0.000000
51.29967764,0.01381561,0.00585759,0.00000436,44617.00000000,0.01345360,0.000000,0.000000
51.39952402,0.01389449,0.00699325,0.00000454,46278.00000000,0.01539330,0.000000,0.000000
51.49936308,0.01395335,0.00686042,0.00000451,47906.00000000,0.01513040,0.000000,0.000000
51.59960484,0.01404796,0.00745478,0.00000448,49492.00000000,0.01603494,0.000000,0.000000
51.69944918,0.01428899,0.00792099,0.00000558,51125.00000000,0.01959163,0.000000,0.000000
51.79928934,0.01529248,0.02893631,0.00000443,52636.00000000,0.03837268,0.000000,0.000000
51.89992078,0.01524804,0.00461635,0.00000417,44738.00000000,0.01418150,0.000000,0.000000
51.99976046,0.01512818,0.00463310,0.00000301,39614.00000000,0.01213158,0.000000,0.000000
52.09961134,0.01503283,0.00485213,0.00000301,40990.00000000,0.01255380,0.000000,0.000000
52.19944972,0.01495802,0.00552968,0.00000306,42306.00000000,0.01293820,0.000000,0.000000
52.29930260,0.01491802,0.00627251,0.00000315,43490.00000000,0.01379787,0.000000,0.000000
52.39995070,0.01487716,0.00527745,0.00000381,44681.00000000,0.01369221,0.000000,0.000000
52.49978378,0.01495603,0.00763183,0.00000385,45648.00000000,0.01732226,0.000000,0.000000
52.59962316,0.01494146,0.00598225,0.00000374,46640.00000000,0.01448988,0.000000,0.000000
52.69946812,0.01497254,0.00723935,0.00000386,47637.00000000,0.01596690,0.000000,0.000000
52.79930930,0.01497859,0.00644523,0.00000382,48473.00000000,0.01517852,0.000000,0.000000
52.89995000,0.01495450,0.00600246,0.00000354,49374.00000000,0.01413526,0.000000,0.000000
52.99980778,0.01497723,0.00699626,0.00000355,50267.00000000,0.01577271,0.000000,0.000000
53.09963420,0.01494334,0.00531567,0.00000380,51067.00000000,0.01372336,0.000000,0.000000
53.19949284,0.01490507,0.00543396,0.00000326,51909.00000000,0.01348896,0.000000,0.000000
53.29932254,0.01511424,0.00894566,0.00000466,52714.00000000,0.02306273,0.000000,0.000000
53.39995864,0.01517740,0.00640279,0.00000375,53531.00000000,0.01764090,0.000000,0.000000
53.49981142,0.01520276,0.00898798,0.00000385,54233.00000000,0.01621720,0.000000,0.000000
53.59964296,0.01517562,0.00666080,0.00000342,54986.00000000,0.01406274,0.000000,0.000000
53.69947760,0.01513099,0.00564588,0.00000334,55714.00000000,0.01325640,0.000000,0.000000
53.79931990,0.01505398,0.00540804,0.00000300,56435.00000000,0.01174275,0.000000,0.000000
53.89995470,0.01497558,0.00501427,0.00000313,57023.00000000,0.01152590,0.000000,0.000000
53.99979668,0.01492703,0.00522354,0.00000358,57639.00000000,0.01274236,0.000000,0.000000
54.09964252,0.01484583,0.00482720,0.00000289,58241.00000000,0.01111033,0.000000,0.000000
54.19947182,0.01482661,0.00551292,0.00000336,58753.00000000,0.01392356,0.000000,0.000000
54.29931394,0.01478204,0.00669633,0.00000263,59505.00000000,0.01264259,0.000000,0.000000
54.39994612,0.01473223,0.00551630,0.00000322,60185.00000000,0.01229137,0.000000,0.000000
54.49981370,0.01471719,0.00632771,0.00000320,60776.00000000,0.01396540,0.000000,0.000000
54.59963446,0.01466963,0.00531086,0.00000319,61531.00000000,0.01224402,0.000000,0.000000
54.69947632,0.01464785,0.00590401,0.00000340,62124.00000000,0.01351547,0.000000,0.000000
54.79932372,0.01464000,0.00716681,0.00000328,62781.00000000,0.01422373,0.000000,0.000000
54.89995344,0.01464932,0.00723982,0.00000340,63334.00000000,0.01515289,0.000000,0.000000
54.99980096,0.01464662,0.00555480,0.00000388,63955.00000000,0.01449780,0.000000,0.000000
55.09963480,0.01463953,0.00620317,0.00000361,64521.00000000,0.01424271,0.000000,0.000000
55.19947548,0.01463527,0.00663324,0.00000344,64867.00000000,0.01439249,0.000000,0.000000
55.29931002,0.01459931,0.00462150,0.00000361,65420.00000000,0.01251321,0.000000,0.000000
55.39995238,0.01459087,0.00603040,0.00000328,65903.00000000,0.01409291,0.000000,0.000000
55.49979742,0.01457087,0.00606600,0.00000284,66415.00000000,0.01337131,0.000000,0.000000
55.59963394,0.01455298,0.00579370,0.00000305,66900.00000000,0.01346160,0.000000,0.000000
55.69947288,0.01454406,0.00575094,0.00000354,67434.00000000,0.01399100,0.000000,0.000000
55.79931026,0.01450903,0.00469453,0.00000331,67925.00000000,0.01230222,0.000000,0.000000
55.89993894,0.01449309,0.00535179,0.00000339,68456.00000000,0.01347242,0.000000,0.000000
55.99977392,0.01447461,0.00629303,0.00000323,68848.00000000,0.01327396,0.000000,0.000000
56.09961288,0.01446074,0.00609929,0.00000329,69094.00000000,0.01354516,0.000000,0.000000
56.19945002,0.01444315,0.00588584,0.00000307,69540.00000000,0.01326483,0.000000,0.000000
56.29929796,0.01442407,0.00565262,0.00000295,69965.00000000,0.01312608,0.000000,0.000000
56.39992938,0.01439257,0.00528517,0.00000309,70370.00000000,0.01221964,0.000000,0.000000
56.49976398,0.01435062,0.00456811,0.00000318,70861.00000000,0.01141401,0.000000,0.000000
56.59959704,0.01431066,0.00485757,0.00000317,71236.00000000,0.01147367,0.000000,0.000000
56.69942412,0.01427480,0.00437236,0.00000336,71709.00000000,0.01169257,0.000000,0.000000
56.79967172,0.01423792,0.00509171,0.00000295,71951.00000000,0.01154538,0.000000,0.000000
56.89951484,0.01419414,0.00521858,0.00000276,72371.00000000,0.01095483,0.000000,0.000000
56.99934958,0.01421684,0.00927920,0.00000300,72736.00000000,0.01591928,0.000000,0.000000
57.09999134,0.01422958,0.00592821,0.00000443,73229.00000000,0.01519798,0.000000,0.000000
